points,mat_fun,eps,left,mid,right
plane_small,3x3,0,50031,0,49969
plane_small,2x2,0,50031,0,49969
plane_small,3x3_lib,0,50031,0,49969
plane_small,2x2_lib,0,50031,0,49969
plane_small,3x3,14,50031,0,49969
plane_small,2x2,14,50031,0,49969
plane_small,3x3_lib,14,50031,0,49969
plane_small,2x2_lib,14,50031,0,49969
plane_small,3x3,12,50031,0,49969
plane_small,2x2,12,50031,0,49969
plane_small,3x3_lib,12,50031,0,49969
plane_small,2x2_lib,12,50031,0,49969
plane_small,3x3,10,50031,0,49969
plane_small,2x2,10,50031,0,49969
plane_small,3x3_lib,10,50031,0,49969
plane_small,2x2_lib,10,50031,0,49969
plane_small,3x3,8,50031,0,49969
plane_small,2x2,8,50031,0,49969
plane_small,3x3_lib,8,50031,0,49969
plane_small,2x2_lib,8,50031,0,49969
plane_large,3x3,0,49952,0,50048
plane_large,2x2,0,49949,8,50043
plane_large,3x3_lib,0,49952,0,50048
plane_large,2x2_lib,0,49950,6,50044
plane_large,3x3,14,49952,0,50048
plane_large,2x2,14,49949,8,50043
plane_large,3x3_lib,14,49952,0,50048
plane_large,2x2_lib,14,49950,6,50044
plane_large,3x3,12,49952,0,50048
plane_large,2x2,12,49949,8,50043
plane_large,3x3_lib,12,49952,0,50048
plane_large,2x2_lib,12,49950,6,50044
plane_large,3x3,10,49952,0,50048
plane_large,2x2,10,49949,8,50043
plane_large,3x3_lib,10,49952,0,50048
plane_large,2x2_lib,10,49950,6,50044
plane_large,3x3,8,49952,0,50048
plane_large,2x2,8,49949,8,50043
plane_large,3x3_lib,8,49952,0,50048
plane_large,2x2_lib,8,49950,6,50044
circle,3x3,0,59,0,41
circle,2x2,0,59,0,41
circle,3x3_lib,0,59,0,41
circle,2x2_lib,0,59,0,41
circle,3x3,14,59,0,41
circle,2x2,14,59,0,41
circle,3x3_lib,14,59,0,41
circle,2x2_lib,14,59,0,41
circle,3x3,12,59,0,41
circle,2x2,12,59,0,41
circle,3x3_lib,12,59,0,41
circle,2x2_lib,12,59,0,41
circle,3x3,10,59,0,41
circle,2x2,10,59,0,41
circle,3x3_lib,10,59,0,41
circle,2x2_lib,10,59,0,41
circle,3x3,8,59,0,41
circle,2x2,8,59,0,41
circle,3x3_lib,8,59,0,41
circle,2x2_lib,8,59,0,41
line,3x3,0,36,18,46
line,2x2,0,9,69,22
line,3x3_lib,0,41,23,36
line,2x2_lib,0,13,70,17
line,3x3,14,0,100,0
line,2x2,14,9,71,20
line,3x3_lib,14,6,88,6
line,2x2_lib,14,12,72,16
line,3x3,12,0,100,0
line,2x2,12,6,81,13
line,3x3_lib,12,0,100,0
line,2x2_lib,12,10,77,13
line,3x3,10,0,100,0
line,2x2,10,0,100,0
line,3x3_lib,10,0,100,0
line,2x2_lib,10,0,100,0
line,3x3,8,0,100,0
line,2x2,8,0,100,0
line,3x3_lib,8,0,100,0
line,2x2_lib,8,0,100,0
